id,name,created_at,updated_at
1,公園・遊歩道・庭園,2024/10/17 14:18,2024/10/17 14:18
2,城・史跡・寺院・神社,2024/10/17 14:18,2024/10/17 14:18
3,動物園・水族館・植物園,2024/10/17 14:18,2024/10/17 14:18
4,博物館・美術館 [歴史記念館・科学館],2024/10/17 14:18,2024/10/17 14:18
5,文化・芸能 [図書館・ホール・映画館・ギャラリー],2024/10/17 14:18,2024/10/17 14:18
6,ショッピング [ショッピングモール・商店街・市場・お土産],2024/10/17 14:18,2024/10/17 14:18
7,飲食店 [カフェ・レストラン・飲食店街],2024/10/17 14:18,2024/10/17 14:18
8,酒蔵・ワイナリー,2024/10/17 14:18,2024/10/17 14:18
9,体験施設・農場 [伝統文化・工房・農業体験],2024/10/17 14:18,2024/10/17 14:18
10,町並み・通りその他ランドマーク [保存地区・湧水・モニュメント],2024/10/17 14:18,2024/10/17 14:18
11,自然景観・展望台 [海岸・山岳・その他景勝地],2024/10/17 14:18,2024/10/17 14:18
12,スポーツ・アクティビティ [スポーツ施設・遊園地・キャンプ・アウトドア],2024/10/17 14:18,2024/10/17 14:18
13,宿泊・温泉 [入浴施設・ホテル・民宿],2024/10/17 14:18,2024/10/17 14:18
14,道の駅・サービスエリア,2024/10/17 14:18,2024/10/17 14:18
15,交通 [駅・空港・港・バスターミナル・レンタサイクル],2024/10/17 14:18,2024/10/17 14:18
