id,name,created_at,updated_at
1,北海道,2024/10/17 13:54,2024/10/17 13:54
2,青森県,2024/10/17 13:55,2024/10/17 13:55
3,岩手県,2024/10/17 13:55,2024/10/17 13:55
4,宮城県,2024/10/17 13:55,2024/10/17 13:55
5,秋田県,2024/10/17 13:56,2024/10/17 13:56
6,山形県,2024/10/17 13:56,2024/10/17 13:56
7,福島県,2024/10/17 13:56,2024/10/17 13:56
8,茨城県,2024/10/17 13:56,2024/10/17 13:56
9,栃木県,2024/10/17 13:57,2024/10/17 13:57
10,群馬県,2024/10/17 13:57,2024/10/17 13:57
11,埼玉県,2024/10/17 13:57,2024/10/17 13:57
12,千葉県,2024/10/17 13:58,2024/10/17 13:58
13,東京都,2024/10/17 13:58,2024/10/17 13:58
14,神奈川県,2024/10/17 13:58,2024/10/17 13:58
15,新潟県,2024/10/17 13:59,2024/10/17 13:59
16,富山県,2024/10/17 13:59,2024/10/17 13:59
17,石川県,2024/10/17 13:59,2024/10/17 13:59
18,福井県,2024/10/17 13:59,2024/10/17 13:59
19,山梨県,2024/10/17 13:59,2024/10/17 13:59
20,長野県,2024/10/17 14:00,2024/10/17 14:00
21,岐阜県,2024/10/17 14:00,2024/10/17 14:00
22,静岡県,2024/10/17 14:12,2024/10/17 14:12
23,愛知県,2024/10/17 14:12,2024/10/17 14:12
24,三重県,2024/10/17 14:12,2024/10/17 14:12
25,滋賀県,2024/10/17 14:13,2024/10/17 14:13
26,京都府,2024/10/17 14:13,2024/10/17 14:13
27,大阪府,2024/10/17 14:13,2024/10/17 14:13
28,兵庫県,2024/10/17 14:13,2024/10/17 14:13
29,奈良県,2024/10/17 14:14,2024/10/17 14:14
30,和歌山県,2024/10/17 14:14,2024/10/17 14:14
31,鳥取県,2024/10/17 14:14,2024/10/17 14:14
32,島根県,2024/10/17 14:14,2024/10/17 14:14
33,岡山県,2024/10/17 14:14,2024/10/17 14:14
34,広島県,2024/10/17 14:15,2024/10/17 14:15
35,山口県,2024/10/17 14:15,2024/10/17 14:15
36,徳島県,2024/10/17 14:15,2024/10/17 14:15
37,香川県,2024/10/17 14:15,2024/10/17 14:15
38,愛媛県,2024/10/17 14:15,2024/10/17 14:15
39,高知県,2024/10/17 14:15,2024/10/17 14:15
40,福岡県,2024/10/17 14:16,2024/10/17 14:16
41,佐賀県,2024/10/17 14:16,2024/10/17 14:16
42,長崎県,2024/10/17 14:16,2024/10/17 14:16
43,熊本県,2024/10/17 14:16,2024/10/17 14:16
44,大分県,2024/10/17 14:17,2024/10/17 14:17
45,宮崎県,2024/10/17 14:17,2024/10/17 14:17
46,鹿児島県,2024/10/17 14:17,2024/10/17 14:17
47,沖縄県,2024/10/17 14:17,2024/10/17 14:17
